Tour,FED_Taux,Pions_Libres,BTC_Force,BTC_Rois,BTC_Pions,SOL_Force,SOL_Cavaliers,SOL_Pions,PEPE_Force,PEPE_Pions
81020,0.77,1159,422,1,11,454,1,12,15,5
81030,-4.65,1196,292,1,1,434,1,2,9,2
81040,-4.53,1202,252,1,1,382,0,1,7,1
81050,-1.22,1205,290,1,0,342,0,1,5,0
81060,4.04,1205,320,1,0,340,0,0,5,0
81070,0.67,1198,422,1,1,342,0,1,7,1
81080,-3.83,1204,212,1,1,342,0,1,7,1
81090,-4.28,1192,250,1,5,446,1,3,7,1
81100,-0.38,1197,262,1,1,454,0,2,9,2
81110,0.29,1196,244,1,2,594,1,2,5,0
81120,-3.44,1192,246,1,3,566,1,3,7,1
81130,4.72,1204,110,0,0,544,0,2,5,0
81140,0.73,1172,168,0,9,564,0,12,9,2
81150,-3.08,1183,190,0,5,592,0,6,7,1
81160,-4.57,1147,256,0,13,630,1,15,19,7
81170,2.18,1198,134,0,2,524,1,2,7,1
81180,-2.97,1165,172,0,11,572,1,11,17,6
81190,-4.65,1188,188,0,4,596,0,3,11,3
81200,3.2,1203,170,0,0,560,0,0,5,0
81210,-2.15,1167,208,0,9,654,2,7,17,6
81220,-0.7,1131,286,0,18,674,2,17,33,14
81230,-2.69,1195,234,0,2,684,0,2,7,1
81240,4.97,1202,130,0,0,682,0,1,5,0
81250,-4.65,1195,152,0,1,614,0,2,11,3
81260,1.75,1175,184,0,7,646,1,8,9,2
81270,0.78,1187,198,0,4,628,2,4,7,1
81280,-4.37,1179,182,0,6,598,0,9,7,1
81290,1.41,1172,166,0,8,656,0,8,9,2
81300,-3.39,1190,138,0,4,666,1,3,7,1
81310,-4.57,1171,184,0,7,662,1,6,17,6
81320,-2.62,1196,136,0,3,524,0,2,7,1
81330,4.34,1206,132,0,1,420,0,0,5,0
81340,-1.76,1202,212,0,1,450,0,0,5,0
81350,2.38,1194,218,0,4,494,0,2,5,0
81360,-3.4,1192,176,0,3,506,0,3,9,2
81370,3.75,1205,130,0,0,420,0,0,5,0
81380,-1.14,1191,140,0,5,408,1,4,7,1
81390,0.82,1157,330,0,10,446,2,13,15,5
81400,-2.31,1193,218,0,4,444,0,2,5,0
81410,2.89,1184,220,0,5,452,0,6,5,0
81420,-4.6,1198,202,0,1,402,1,1,7,1
81430,0.53,1189,216,0,3,390,0,5,7,1
81440,2.45,1182,212,0,6,442,1,6,5,0
81450,2.2,1200,172,0,1,352,1,1,5,0
81460,-4.3,1184,232,0,6,500,1,5,9,2
81470,3.43,1208,130,0,0,380,0,0,5,0
81480,4.66,1208,130,0,0,262,0,1,5,0
81490,-1.18,1191,122,0,6,272,0,6,7,1
81500,-3.73,1205,152,0,1,262,0,1,5,0
81510,-0.16,1198,224,0,2,306,0,3,5,0
81520,-1.29,1197,226,0,3,336,0,3,5,0
81530,4.82,1207,132,0,1,300,0,0,5,0
81540,-3.67,1202,94,0,2,326,0,3,7,1
81550,-2.55,1198,96,0,3,422,1,1,9,2
81560,-3.3,1201,74,0,2,480,1,0,7,1
81570,-0.84,1201,114,0,2,306,0,3,5,0
81580,-2.12,1205,92,0,1,188,0,4,5,0
81590,-2.64,1182,132,0,6,332,1,6,13,4
81600,0.49,1201,114,0,2,228,0,4,5,0
81610,-4.86,1170,172,0,11,330,3,10,9,2
81620,2.29,1138,304,0,17,436,3,18,13,4
81630,4.35,1208,210,0,0,220,0,0,5,0
81640,3.28,1208,172,0,1,220,0,0,5,0
81650,-4.53,1193,266,0,3,190,0,5,9,2
81660,4.75,1206,214,0,2,180,0,0,5,0
81670,-2.68,1200,214,0,2,226,0,3,7,1
81680,2.66,1197,196,0,3,306,0,3,5,0
81690,-2.07,1202,214,0,2,302,0,1,5,0
81700,-1.86,1168,262,0,11,378,0,9,13,4
81710,-4.46,1197,164,0,2,372,0,1,9,2
81720,3.32,1206,130,0,0,300,0,0,5,0
81730,4.14,1198,256,0,3,340,0,0,5,0
81740,-2.23,1193,252,0,1,406,0,3,5,0
81750,-0.65,1194,176,0,3,342,0,1,7,1
81760,-0.34,1198,176,0,3,304,0,2,5,0
81770,1.96,1163,232,0,11,466,2,8,15,5
81780,2.79,1186,184,0,7,486,2,3,5,0
81790,-3.47,1186,218,0,4,566,0,3,11,3
81800,-2.74,1191,216,0,3,406,0,3,9,2
81810,2.63,1193,382,0,1,404,0,2,7,1
81820,-3.28,1191,374,0,2,434,0,2,5,0
81830,3.83,1201,292,0,1,340,0,0,5,0
81840,-4.51,1194,254,0,2,462,0,1,7,1
81850,5.0,1194,252,0,1,486,1,3,5,0
81860,-2.34,1200,212,0,1,422,0,1,5,0
81870,-4.58,1191,296,0,3,362,1,1,9,2
81880,-4.92,1191,216,0,3,376,0,3,7,1
81890,4.43,1203,200,0,0,340,0,0,5,0
81900,2.35,1186,180,0,5,352,0,6,7,1
